Order,Symbol,Name,EPS Rating,RS Rating,Industry Name,ROE,P/E,EPS Due Date,Sales % Chg Lst Qtr,EPS % Chg Last Qtr,EPS % Chg 1 Q Ago,EPS % Chg 2 Q Ago,Funds % Increase,Market Cap (mil),Comp Rating,A/D Rating,SMR Rating,Ind Group Rank,Ind Group RS
45,ACT,Enact Holdings,73,54,Finance-Mrtg&Rel Svc,15.5,8,11/6/2024,8,15,-4,11,0.5,5103.8,60,D-,A,133,C-
46,ACTG,Acacia Research,73,38,Elec-Misc Products,16.2,6,11/12/2024,227,-,-,-,0.6,447.7,65,D,B,54,B+
47,ACVA,ACV Auctions,81,76,Retail/Whlsle-Automobile,-3.4,-,11/7/2024,29,-,-,-,0.8,2950.2,88,B-,C,57,B+
48,ADBE,Adobe,93,17,Computer Sftwr-Desktop,48.3,27,12/11/2024,11,14,15,18,0.4,214122.1,53,D,A,175,D-
49,ADC,Agree Realty,69,76,Finance-Property REIT,3.5,-,2/20/2025,13,3,6,5,2.1,7669.1,80,C,B,67,B
50,ADCT,ADC Therapeutics,41,94,Medical-Biomed/Biotech,-,-,11/7/2024,-10,-,-,-,56.6,294.8,55,C+,E,34,A-
51,ADEA,Adeia,32,82,Internet-Content,47.8,11,11/7/2024,5,8,-48,-34,-1.9,1392.9,70,B,B,60,B+
52,ADI,Analog Devices,46,67,Elec-Semiconductor Mfg,14.2,32,11/26/2024,-25,-37,-51,-37,-0.2,108036.9,45,C-,C,172,D-
53,ADM,Archer Daniels Midland,55,15,Food-Grain & Related,15.6,11,1/28/2025,-,-33,-46,-30,-1.9,24863.4,17,E,D,124,C
54,ADMA,ADMA Biologics,81,99,Medical-Biomed/Biotech,0.5,72,11/7/2024,78,-,-,-,21.3,4388.9,99,B,B,34,A-
55,ADN,Advent Technologies,45,11,Energy-Alternative/Other,-150.3,-,11/11/2024,-27,-,-,-,-9.1,9.4,27,C+,D,4,A+
56,ADNT,Adient,28,9,Auto/Truck-Original Eqp,9.5,12,11/8/2024,-8,-67,69,-9,-11,1719.4,9,C,D,151,D+
57,ADP,Automatic Data,89,77,Comml Svcs-Outsourcing,94,31,1/29/2025,7,12,11,14,1.4,118741.7,89,B-,A,72,B
58,ADPT,Adaptive Biotechnologies,31,90,Medical-Biomed/Biotech,-58.3,-,11/7/2024,-12,-,-,-,0,822.9,66,B,E,34,A-
59,ADSK,Autodesk,95,86,Computer Sftwr-Design,109.6,36,11/26/2024,12,13,21,12,0.6,62734.9,93,B+,A,158,D
60,ADT,ADT,46,57,Security/Sfty,21.9,9,3/4/2025,5,25,0,-23,1.7,6675.6,59,D-,A,52,B+
61,ADTN,Adtran Holdings,18,76,Telecom-Cable/Satl Eqp,-14.4,-,11/6/2024,-31,-,-,-,-3.3,490.4,57,B+,E,15,A+
62,ADV,Advantage Solutions,4,35,Comml Svcs-Consulting,-5.1,-,11/7/2024,-9,-,-,-71,0,1048.2,12,D-,E,92,B-
63,ADX,Adams Divers Equity Fd,0,72,Finance-Publ Inv Fd-Eqt,-,-,11/4/2024,-,25,19,23,11.1,2455.5,-,D,-,120,C
64,ADXN,Addex Therapeutics ADR,20,90,Medical-Biomed/Biotech,-217,-,11/11/2024,-82,-,-,-,0,17,38,D-,E,34,A-
65,ADYEY,Adyen ADR,99,92,Finance-CrdtCard/PmtPr,25.3,26,11/7/2024,21,40,40,50,0,23693.8,-,C,-,69,B
66,AEE,Ameren Corp,72,72,Utility-Diversified,10.5,20,11/6/2024,-4,8,-2,-5,0.1,23389.1,66,C+,C,118,C
67,AEG,Aegon ADR,28,62,Insurance-Life,-1.4,-,11/15/2024,-1,-,-,-,-5.5,12974.8,41,C,E,115,C
68,AEHR,Aehr Test Systems,86,12,Elec-Semiconductor Equip,38.2,11,1/9/2025,-36,-61,265,-,4.3,358.8,28,C,B,189,E
69,AEIS,Advanced Energy Inds,43,70,Elec-Semiconductor Equip,16.7,31,2/5/2025,-9,-23,-23,-53,-1.6,4196.4,47,B,C,189,E
70,AEM,Agnico-Eagle Mines,97,92,Mining-Gold/Silver/Gems,6.1,24,2/13/2025,31,165,67,33,2.9,42933,99,B,A,14,A+
71,AEO,American Eagle Outfitters,84,19,Retail-Apparel/Shoes/Acc,18,10,11/19/2024,8,56,100,65,1.5,3664.6,47,C-,B,110,C+
72,AEP,American Elec Power,85,72,Utility-Electric Power,11.1,18,11/6/2024,5,11,14,17,2,53424.7,89,B+,B,23,A
73,AER,AerCap Holdings,72,78,Comml Svcs-Leasing,14.9,8,2/13/2025,3,-14,18,41,-1,18668.9,79,B-,B,42,A-
74,AES,AES,93,19,Utility-Electric Power,67.3,7,3/3/2025,-4,18,81,127,-3.1,11028,59,C,B,23,A
75,AESI,Atlas Energy Solutions,45,49,Oil&Gas-Field Services,23.2,26,3/4/2025,93,-92,-81,-73,8.4,2217.2,55,B-,B,163,D
76,AEVA,Aeva Technologies,32,82,Auto/Truck-Original Eqp,-41.3,-,11/6/2024,172,-,-,-,-1.7,217.3,47,B,D,151,D+
77,AFG,American Financial Group,70,46,Insurance-Prop/Cas/Titl,21.5,12,1/29/2025,9,-6,8,-4,-2.3,10692.6,58,D-,A,82,B-
78,AFL,Aflac,90,81,Insurance-Acc & Health,17.7,15,1/29/2025,-40,17,16,7,-1.1,59116.3,85,E,B,16,A+
79,AFRM,Affirm Holdings Cl A,54,96,Finance-CrdtCard/PmtPr,-19.7,-,11/7/2024,48,-,-,-,1.1,14317.4,88,A+,D,69,B
80,AG,First Majestic Silver,3,88,Mining-Gold/Silver/Gems,-1.7,-,11/7/2024,-7,-,-,-,0,2015,57,B+,E,14,A+
81,AGCO,AGCO,60,15,Machinery-Farm,27.3,10,2/11/2025,-25,-83,-41,-34,-5.2,6734.9,21,E,C,166,D
82,AGEN,Agenus,41,3,Medical-Biomed/Biotech,-,-,11/6/2024,-7,-,-,-,-6.2,89.5,12,D+,-,34,A-
83,AGFY,Agrify,68,10,Agricultural Operations,-,-,11/6/2024,-41,-,-,-,0,5.9,10,C,E,168,D
84,AGI,Alamos Gold,93,90,Mining-Gold/Silver/Gems,7.4,32,11/6/2024,27,60,8,33,6.1,8465.7,99,B,A,14,A+
85,AGIO,Agios Pharmaceuticals,45,94,Medical-Biomed/Biotech,-36.8,4,2/13/2025,21,-,-,-,1,2663.3,77,C+,D,34,A-
86,AGL,agilon health,6,2,Comml Svcs-Healthcare,-22.9,-,11/7/2024,39,-,-50,-,-12.1,1123.3,5,D-,C,106,C+
87,AGNC,AGNC Investment,37,35,Finance-Mortgage REIT,1.9,7,1/29/2025,-,-,-,-,2.2,7449.1,41,D-,C,149,D+
88,AGO,Assured Guaranty,97,59,Insurance-Prop/Cas/Titl,12,7,11/11/2024,-44,140,75,2514,-2.5,4341.3,81,C,A,82,B-
89,AGR,Avangrid,90,49,Utility-Diversified,4.1,12,2/25/2025,6,104,133,38,-4.4,13808.9,60,D-,C,118,C
90,AGRO,Adecoagro,90,67,Agricultural Operations,13,6,11/13/2024,2,158,-39,-,-6.9,1164,71,B+,C,168,D
91,AGX,Argan,96,99,Bldg-Heavy Construction,11.3,45,12/4/2024,61,39,263,-11,3.3,1912.1,99,A,B,9,A+
92,AGYS,Agilysys,98,72,Computer-Integrated Syst,17.8,79,1/28/2025,16,36,67,23,3.3,2903.5,94,C,A,37,A-
93,AHCO,AdaptHealth,69,62,Medical-Outpnt/Hm Care,-37.6,-,3/4/2025,0,-,44,-,-1.4,1234.4,59,B-,D,117,C
94,AHH,Armada Hoffler Properties,27,26,Finance-Property REIT,1.2,-,2/6/2025,13,13,6,10,0.8,1119.8,30,C-,C,67,B
95,AHR,American Healthcare REIT,75,97,Finance-Property REIT,-5.4,-,11/12/2024,8,-,-,-,38.4,3878.3,90,A,D,67,B
96,AI,C3.ai,40,49,Comp Sftwr-Spec Enterprs,-6.2,-,12/9/2024,21,-,-,-,-1.9,3377.8,48,B-,C,86,B-
97,AIFF,Firefly Neuroscience,58,4,Computer-Tech Services,-82.1,-,-,-98,-,-,-,0,23.8,8,D-,E,95,B-
98,AIG,American Intl Group,89,51,Insurance-Diversified,7.4,15,2/12/2025,-7,18,9,22,-1.7,48547.5,59,D-,D,90,B-
99,AIN,Albany International,43,14,Paper & Paper Products,13.8,19,2/18/2025,6,-22,0,-1,0.8,2297.1,27,D+,B,89,B-
100,AIOT,PowerFleet,33,93,Security/Sfty,-14.8,-,11/12/2024,10,-,-,-,23.3,545.3,60,E,D,52,B+
101,AIR,AAR Corp,71,22,Aerospace/Defense,10.2,18,12/17/2024,20,9,-6,17,-3.1,2148,57,D+,B,43,A-
102,AISP,Airship AI Holdings,33,7,Computer Sftwr-Enterprse,-,-,11/27/2024,131,-,-,-,57.1,56.4,16,D+,-,33,A-
103,AIT,Applied Indl Techs,83,87,Machinery-Tools & Rel,25,24,1/23/2025,0,-3,6,2,-1.1,9080.9,84,C,B,75,B
104,AIV,Apartment Invt & Mgmt,5,57,Finance-Property REIT,-37,-,11/7/2024,12,-,-,-,-2.3,1213.6,40,C+,D,67,B
105,AIXI,XIAO-I ADR,10,10,Computer Sftwr-Enterprse,-,-,-,-7,-,-,-,0,46.7,13,B+,-,33,A-
106,AIZ,Assurant,95,70,Insurance-Diversified,20.4,10,2/11/2025,7,9,17,42,-2.1,10000.7,84,B-,A,90,B-
107,AJG,Gallagher,95,62,Insurance-Brokers,19.3,29,1/23/2025,13,13,20,16,-1.4,62036,82,D,A,102,C+
108,AKAM,Akamai Technologies,83,25,Computer Sftwr-Enterprse,21.4,15,11/7/2024,5,6,17,23,-1.5,15298,66,C-,A,33,A-
109,AKR,Acadia Realty Trust,38,91,Finance-Property REIT,1.2,-,2/18/2025,8,19,-14,-18,-0.2,2975.7,70,B-,C,67,B
110,AKRO,Akero Therapeutics,7,95,Medical-Biomed/Biotech,-35.2,-,11/13/2024,-,-,-,-,3.1,2273.1,63,B+,-,34,A-
111,AL,Air Lease,14,51,Comml Svcs-Leasing,8.9,10,11/7/2024,-1,-26,-18,56,0.5,5023.1,45,D+,B,42,A-
112,ALAB,Astera Labs,81,97,Elec-Semicondctor Fablss,-,171,2/26/2025,206,-,-,-,22.9,15024.9,91,A-,-,76,B
113,ALAR,Alarum Technologies ADR,40,90,Computer Sftwr-Security,35.4,9,11/26/2024,27,-9,-,-,0,88.8,59,B-,A,121,C
114,ALB,Albemarle,36,26,Chemicals-Specialty,143,20,11/6/2024,-40,-99,-97,-79,-4,11727.4,36,B,C,79,B
115,ALBT,Avalon GloboCare,41,8,Medical-Services,-182.6,-,-,6,-,-,-,0,3.8,4,E,E,140,C-
116,ALC,Alcon,82,67,Medical-Products,6.8,32,11/12/2024,3,7,11,67,-1,45711.6,73,C-,B,68,B
117,ALCE,Alternus Clean Energy,1,1,Energy-Solar,-,-,-,-36,-,-,-,0,8.3,1,D-,E,161,D
118,ALDX,Aldeyra Therapeutics,13,95,Medical-Biomed/Biotech,-27.7,-,11/7/2024,-,-,-,-,4.4,313.1,57,C+,-,34,A-
119,ALE,Allete,29,49,Utility-Diversified,9,21,2/13/2025,7,-48,-37,-14,-9.4,3720.6,39,C,D,118,C
120,ALEC,Alector,14,19,Medical-Biomed/Biotech,-74.8,-,11/12/2024,-73,-,-,-,-2.2,486.1,22,B,E,34,A-
121,ALEX,Alexander & Baldwin,94,57,Real Estate Dvlpmt/Ops,3.7,23,2/26/2025,18,69,7,115,1.8,1396,92,B,B,19,A
122,ALGM,Allegro MicroSystems,46,12,Elec-Semicondctor Fablss,25.2,30,2/4/2025,-32,-80,-92,-32,-0.7,4002.5,25,D,B,76,B
123,ALGN,Align Technology,81,19,Medical-Products,18.2,23,1/29/2025,2,10,9,18,-2.9,15847,45,D+,A,68,B
124,ALGT,Allegiant Travel,45,85,Transportation-Airline,11,74,1/29/2025,-1,-,-49,-81,-10.1,1212.1,77,A-,C,29,A
125,ALHC,Alignment Healthcare,34,97,Medical-Managed Care,-73.9,-,3/4/2025,52,-,-,-,5.9,2545.7,73,A-,D,178,D-
126,ALIT,Alight,21,19,Computer Sftwr-Enterprse,-0.5,-,11/12/2024,-4,-55,11,-,-2.7,3797.4,22,E,D,33,A-
127,ALK,Alaska Air Group,42,90,Transportation-Airline,14.7,12,1/23/2025,8,23,-15,-,-5.8,6126.3,86,A-,B,29,A
128,ALKS,Alkermes,69,59,Medical-Biomed/Biotech,35.3,12,2/13/2025,-1,-16,-8,144,-1,4590.3,75,C+,B,34,A-
129,ALKT,Alkami Technology,81,91,Computer Sftwr-Financial,-1.2,178,2/20/2025,27,800,-,-,11.1,3699.1,97,B-,C,7,A+
130,ALL,Allstate,83,77,Insurance-Prop/Cas/Titl,2.2,11,2/5/2025,15,383,-,-,1.6,49004.4,91,C+,C,82,B-
131,ALLE,Allegion,86,76,Security/Sfty,54.4,19,2/25/2025,5,11,11,-2,-0.2,12248.3,84,D,A,52,B+
132,ALLO,Allogene Therapeutics,46,31,Medical-Biomed/Biotech,-53.3,-,11/7/2024,-,-,-,-,-6,625.2,43,B,E,34,A-
133,ALLY,Ally Financial,64,26,Financial Svcs-Specialty,8.5,11,1/17/2025,6,58,-13,-54,0.4,10730.5,52,C-,C,13,A+
134,ALNY,Alnylam Pharmaceuticals,27,90,Medical-Biomed/Biotech,-,-,2/6/2025,-33,-,-,-,6.1,34217.1,58,D-,D,34,A-
135,ALRM,Alarm.com Holdings,91,17,Security/Sfty,17.6,25,11/7/2024,4,18,22,17,-1.9,2757.9,59,B,B,52,B+
136,ALSN,Allison Transmission,92,95,Auto/Truck-Original Eqp,63.9,13,2/12/2025,12,29,11,10,3.7,9553.7,95,A,A,151,D+
137,ALT,Altimmune,19,88,Medical-Biomed/Biotech,-40.1,-,11/12/2024,0,-,-,-,5.2,499.6,47,B,E,34,A-
138,ALTG,Alta Equipment Cl A,4,7,Comml Svcs-Leasing,16.6,36,11/6/2024,4,-95,-,-70,-8.7,215.4,12,D,B,42,A-
139,ALTM,Arcadium Lithium,48,91,Chemicals-Specialty,24.5,6,11/27/2024,8,-76,-72,-15,-4.8,5860.9,68,A-,B,79,B
140,ALTR,Altair Engineering Cl A,96,87,Computer Sftwr-Design,15.4,83,2/20/2025,13,60,7,11,1.9,8872.3,85,D,A,158,D
141,ALTS,ALT5 Sigma,38,99,Computer Sftwr-Financial,-,-,11/12/2024,-,250,-,-,-7.1,29.1,71,B+,E,7,A+
142,ALV,Autoliv,75,20,Auto/Truck-Original Eqp,27,11,1/31/2025,-2,11,-3,76,-10.2,7665.6,42,D+,B,151,D+
143,AM,Antero Midstream,62,57,Oil&Gas-Integrated,19.8,16,2/12/2025,2,0,5,14,-2.8,7032.1,54,D,A,165,D
144,AMAT,Applied Materials,90,51,Elec-Semiconductor Equip,47.7,22,11/14/2024,5,12,5,5,-2.6,153734.9,53,E,A,189,E
145,AMBA,Ambarella,16,82,Elec-Semicondctor Fablss,-5.7,-,11/28/2024,3,-,-,-,-3.6,2340.2,50,B+,E,76,B
146,AMBC,Ambac Financial Group,81,16,Financial Svcs-Specialty,7.2,3,11/12/2024,69,157,-,-92,-2.9,533.7,56,D-,A,13,A+
147,AMBP,Ardagh Metal Packaging,33,44,Food-Packaged,-18,-,2/20/2025,1,0,-,-,-10.3,2205.1,36,B-,D,144,D+
148,AMC,AMC Entertainment,13,19,Leisure-Movies & Related,-,-,11/6/2024,-24,-,-,-,-3.2,1586.3,17,B,-,35,A-
149,AMCR,Amcor,59,44,Containers/Packaging,25.7,14,2/4/2025,-3,0,11,0,-2.2,14829.2,48,D+,C,100,C+
150,AMCX,AMC Networks A,20,7,Media-Radio/Tv,34.2,2,11/8/2024,-8,-39,-56,-71,-14,375.7,1,E,C,164,D
151,AMD,Advanced Micro Devices,96,44,Elec-Semicondctor Fablss,7.8,47,2/4/2025,18,31,19,3,-3.1,229886.8,76,C,B,76,B
152,AME,Ametek,77,72,Electrical-Power/Equipmt,18.2,27,2/11/2025,5,1,6,10,-2.7,42144,86,B,A,59,B+
153,AMED,Amedisys,43,35,Medical-Outpnt/Hm Care,13.3,22,11/6/2024,7,-4,3,-19,-0.9,3141.7,38,E,B,117,C
154,AMGN,Amgen,74,44,Medical-Biomed/Biotech,202.9,17,2/4/2025,23,13,-1,-1,-0.8,171628.6,79,C-,A,34,A-
155,AMH,Amer Homes 4 Rent Cl A,94,23,Finance-Property REIT,2.8,-,2/20/2025,6,9,8,8,2.4,13080.5,53,E,C,67,B
156,AMIX,Autonomix Medical,1,2,Medical-Products,-373,-,11/27/2024,-,-,-,-,0,14.1,5,C+,-,68,B
157,AMKR,Amkor Technology,65,19,Elec-Semiconductor Mfg,9.4,18,2/17/2025,2,-9,4,33,-0.3,6492.6,17,E,C,172,D-
158,AMLX,Amylyx Pharmaceuticals,4,97,Medical-Biomed/Biotech,12.7,-,11/7/2024,-,-,-,-,-23.6,395.6,69,A+,B,34,A-
159,AMN,AMN Healthcare,44,6,Comml Svcs-Staffing,34.5,8,11/7/2024,-25,-59,-61,-47,-3.1,1506.7,9,D-,C,152,D+
160,AMP,Ameriprise Financial,94,89,Finance-Invest Bnk/Bkrs,74.9,15,1/22/2025,12,17,17,16,0.5,50463.7,96,B-,A,10,A+
161,AMPH,Amphastar Pharm,99,77,Medical-Biomed/Biotech,30.1,13,11/6/2024,25,45,68,21,0,2509.7,95,B-,A,34,A-
162,AMPL,Amplitude,27,26,Computer Sftwr-Enterprse,2.7,105,11/7/2024,8,-,-,-,-3.7,1163.9,34,C,C,33,A-
163,AMPS,Altus Power,80,13,Utility-Electric Power,-2.2,26,11/12/2024,13,475,67,-,-3.3,586.9,59,A-,C,23,A
164,AMPY,Amplify Energy,8,49,Oil&Gas-U S Expl&Prod,69,10,11/6/2024,10,-29,-,37,0,267.5,35,D,B,134,C-
165,AMR,Alpha Metallurgical Rscs,5,13,Energy-Coal,48.1,8,3/10/2025,-9,-96,-63,-44,-7.8,2901.8,13,B-,B,116,C
166,AMRC,Ameresco,32,93,Energy-Alternative/Other,7.8,32,11/7/2024,34,-33,-,97,0.3,1855,82,B,C,4,A+
167,AMRK,A-Mark Precious Metals,47,77,Financial Svcs-Specialty,8.6,18,11/6/2024,-19,-65,-86,-58,-4.1,864,71,C-,C,13,A+
168,AMRX,Amneal Pharmaceuticals,62,92,Medical-Generic Drugs,124.2,13,11/8/2024,17,-16,17,-39,4.2,2553.7,76,B-,B,136,C-
169,AMSC,American Superconductor,81,98,Electrical-Power/Equipmt,0.6,65,1/29/2025,60,2600,-,-,36.2,1132.3,99,B-,C,59,B+
170,AMT,American Tower REIT,44,49,Finance-Property REIT,33.4,-,3/4/2025,0,3,13,10,1.7,99929.8,53,C-,A,67,B
171,AMTM,Amentum Holdings,38,19,Comp Sftwr-Spec Enterprs,-62.3,-,-,9,-,-,-,-,3722.4,35,-,D,86,B-
172,AMTX,Aemetis,27,20,Energy-Alternative/Other,-,-,11/14/2024,48,-,-,-,15.5,148.7,31,B-,-,4,A+
173,AMWD,American Woodmark,30,54,Bldg-Constr Prds/Misc,15.6,12,11/28/2024,-8,-32,-23,14,0.9,1465.1,42,C-,C,105,C+
174,AMX,America Movil ADR,51,18,Telecom Svcs- Foreign,21.4,23,2/18/2025,-3,233,-,-49,0,52778.1,38,C+,B,104,C+
175,AMZN,Amazon.com,79,82,Retail-Internet,17.5,43,1/30/2025,11,52,94,216,-0.3,2093865.4,95,B,A,61,B+
176,AN,AutoNation,61,46,Retail/Whlsle-Automobile,48.5,9,2/13/2025,-4,-27,-37,-26,-2.9,6388.2,52,D,B,57,B+
177,ANAB,AnaptysBio,13,12,Medical-Biomed/Biotech,-93.4,-,2/27/2025,804,-,-,-,-1.1,600.1,20,E,D,34,A-
178,ANET,Arista Networks,98,93,Computer-Networking,36.3,51,11/7/2024,16,33,39,48,2.3,127269.3,98,C,A,25,A
179,ANF,Abercrombie & Fitch,95,86,Retail-Apparel/Shoes/Acc,38.3,15,11/26/2024,21,127,449,267,7.3,7015.6,92,B-,A,110,C+
180,ANGI,Angi,72,80,Internet-Content,-3.7,-,11/11/2024,-10,-,-,-,0.8,1246.7,72,B,E,60,B+
181,ANGO,AngioDynamics,15,44,Medical-Products,-5.3,-,1/2/2025,-14,-,-,-,-1.7,284,32,C+,E,68,B
182,ANIP,ANI Pharmaceuticals,26,19,Medical-Generic Drugs,23.4,13,11/8/2024,18,-20,3,32,-0.5,1205.8,35,C,B,136,C-
183,ANNX,Annexon,52,96,Medical-Biomed/Biotech,-55.7,-,11/18/2024,-,-,-,-,6,766,81,B+,-,34,A-
184,ANRO,Alto Neuroscience,3,1,Medical-Biomed/Biotech,-69.7,-,11/27/2024,-,-,-,-,38.1,101.1,8,C-,-,34,A-
185,ANSC,Agric & Nat Solns Cl A,81,38,Finance-Blank Check,-,58,-,-,-,-,-,0,448.7,63,A+,-,153,D+
186,ANSS,Ansys,84,46,Computer Sftwr-Design,15,35,11/6/2024,20,56,-25,28,-1.8,28355,66,C-,A,158,D
